"TRDAPL","TRDCOD","TRDNUO","TRDNUI","TRDCNV","TRDJUS","TRDIMV","TRDDFT"
"NRT","RNRC","006","006","N","I","N",""
"PYT","RPYV","123","118","N","I","N",""
"PYT","RPYV","126","126","N","I","N",""
"PYT","RPYC","003","003","N","I","N",""
"PYT","RPYC","005","005","N","I","N",""
"PYT","RPYC","002","002","N","I","N",""
"PYT","RPYC","037","037","N","I","N",""
"PYT","RPYC","049","049","N","I","N",""
"PYT","RPYC","051","051","N","I","N",""
"PYT","RPYC","060","060","N","I","N",""
"PYT","RPYC","067","067","N","I","N",""
"PYT","RPYC","121","121","N","I","N",""
"PYT","RPYM","COD","COD","N","I","N",""
"PYT","RPYM","007","007","N","I","N",""
"PYT","RPYM","012","012","N","I","N",""
"PYT","RPYM","014","014","N","I","N",""
"PYT","RPYM","023","023","N","I","N",""
